"PLANT_ID","LIB","ALIAS","VCF_NAME","ACC","NAT_PAPER_LIB","PLANTED_2018","COVERAGE_CATEGORY","COLLECTION_TYPE","COLLECTION_METHOD","TAXON","SOURCE_ID_1","SOURCE_ID_2","LIB_NOTES","COLL_DATE","LATITUDE","LONGITUDE","ELEVATION","NOTE_LATLONG","COUNTRY","STATE","COUNTY","LOCALITY","APPROX_COVERAGE","APPROX_BP_MAPPED","GOOD_PAIRED_READS","MINOR_LIB","MINOR_LIB_COV","MINOR_LIB_VCF_NAME","OLD_META_PLOIDY","PLD_SNP","NQUIRE_CDS_20","NQUIRE_FULL_20","NQUIRE_NSNPS_20","NQUIRE_PLOIDY","NQUIRE_CONFIDENCE","MINOR_LIB_NQUIRE_CDS_20","MNP_CDS_PLOIDY","MNP_GENIC_PLOIDY","OLD_TOT_PLOIDY","OLD_TOT_PLOIDY_CONFIDENCE","UNI_ACC","PPG_FILT_NOTE","PPG_NATIVE","PPG_CONTAMINANT"
"J465.C","IILG",NA,"J465.C","J465","Y","Y","paper_732g","Natural Collection","Grown from GRIN Seed Packet In Austin","Panicum virgatum","Griff 17521","SE2013-024","NA","9/18/13",30.84472,-93.56707,27,NA,"USA","Louisiana","Beauregard","Boat ramp near 100 Palmer Lake Road, Merryville, LA",39.12,44203190850,294687939,NA,NA,NA,"4X","4X","4X",NA,1188984,"4X",1,NA,"4X","4X","4X",4,"GRIF_17521",NA,NA,NA
"J469.C","IILI",NA,"J469.C","J469","Y","Y","paper_732g","Natural Collection","Grown from GRIN Seed Packet In Austin","Panicum spp","Griff 17005","2009FL-043","NA",NA,30.84694444,-86.73777778,25,NA,"USA","Florida","Oklaoosa","Park area along black river and under bridge in swampy area",39.88,45060107700,300400718,NA,NA,NA,"4X","4X","4X",NA,1114225,"4X",1,NA,"4X","4X","4X",4,"GRIF_17005",NA,NA,NA
"J481.A","IILJ",NA,"J481.A","J481","Y","Y","paper_732g","Natural Collection","Rhizome Plug Dug from Single Individual in a Natural Population","Panicum virgatum","MBP1",NA,"NA","8/21/15",33.39716667,-92.41386111,31,NA,"USA","Arkansas","Calhoun","Site Moro Big Pine Natural Area. 10 miles southeast of Hampton",36.84,41629558650,277530391,NA,NA,NA,"4X","4X","4X",NA,1143288,"4X",1,NA,"4X","4X","4X",4,"MBP",NA,NA,NA
"J489.A","IILK",NA,"J489.A","J489","Y","Y","paper_732g","Natural Collection","Rhizome Plug Dug from Single Individual in a Natural Population","Panicum virgatum","OSP1",NA,"NA","8/23/15",37.73674722,-94.32752778,273,NA,"USA","Missouri","Barton","Site Osage Prairie Conservation Area. 7.24 miles south of Nevada",34.48,38955177600,259701184,NA,NA,NA,"4X","4X","4X",NA,1155924,"4X",1,NA,"4X","?X","4X",3,"OSP",NA,NA,NA
"J515.C","IILN",NA,"J515.C","J515","Y","Y","paper_732g","Natural Collection","Grown from GRIN Seed Packet In Austin","Panicum virgatum","Grif 16845",NA,"NA",NA,42.67666667,-70.75944444,2,NA,"USA","Massachusetts","Essex","Collected in beach dunes of Crane Beach Reservation (TTCR), Essex County. Major Land Resource Area 144A.",37.72,42620275950,284135173,NA,NA,NA,"4X","4X","4X",NA,929875,"4X",1,NA,"4X","4X","4X",4,"GRIF_16845",NA,NA,NA
"J517.B","IILQ",NA,"J517.B","J517","Y","Y","paper_732g","Natural Collection","Grown from GRIN Seed Packet In Austin","Panicum virgatum","Grif 16854",NA,"NA",NA,40.983442,-72.615855,19,NA,"USA","New York","Suffolk","Around shoreline of saltwater pond, 1/3 mile west of Brent State Park parking lot, Suffolk County. Major Land Resource Area 149B.",36.91,41698384350,277989229,NA,NA,NA,"4X","4X","4X",NA,1002843,"4X",1,NA,"4X","4X","4X",4,"GRIF_16854",NA,NA,NA
"J517.C","IILR",NA,"J517.C","J517","Y","Y","paper_732g","Natural Collection","Grown from GRIN Seed Packet In Austin","Panicum virgatum","Grif 16854",NA,"NA",NA,40.983442,-72.615855,19,NA,"USA","New York","Suffolk","Around shoreline of saltwater pond, 1/3 mile west of Brent State Park parking lot, Suffolk County. Major Land Resource Area 149B.",33.9,38297763450,255318423,NA,NA,NA,"4X","4X","4X",NA,998608,"4X",1,NA,"4X","4X","4X",4,"GRIF_16854",NA,NA,NA
"J521.B","IILS",NA,"J521.B","J521","Y","Y","paper_732g","Natural Collection","Grown from GRIN Seed Packet In Austin","Panicum virgatum","PI 674659",NA,"NA",NA,39.965255,-74.311821,17,NA,"USA","New Jersey","Ocean","Ocean County. Major Land Resource Area 149A.",31.06,35089589550,233930597,NA,NA,NA,"4X","4X","4X",NA,846389,"4X",1,NA,"4X","4X","4X",4,"PI_674659",NA,NA,NA
"J521.C","IILT",NA,"J521.C","J521","Y","Y","paper_732g","Natural Collection","Grown from GRIN Seed Packet In Austin","Panicum virgatum","PI 674659",NA,"NA",NA,39.965255,-74.311821,17,NA,"USA","New Jersey","Ocean","Ocean County. Major Land Resource Area 149A.",25.95,29322287850,195481919,NA,NA,NA,"4X","4X","4X",NA,886931,"4X",1,NA,"4X","4X","4X",4,"PI_674659",NA,NA,NA
"J522.B","IILU",NA,"J522.B","J522","Y","Y","paper_732g","Natural Collection","Grown from GRIN Seed Packet In Austin","Panicum virgatum","PI 674660",NA,"NA",NA,39.644042,-74.644024,8,NA,"USA","New Jersey","Warren","BATSTP 542 at River, right side of road.",38.41,43402516950,289350113,NA,NA,NA,"4X","4X","4X",NA,1067362,"4X",1,NA,"4X","4X","4X",4,"PI_674660",NA,NA,NA
"J522.C","IILW",NA,"J522.C","J522","Y","Y","paper_732g","Natural Collection","Grown from GRIN Seed Packet In Austin","Panicum virgatum","PI 674660",NA,"NA",NA,39.644042,-74.644024,8,NA,"USA","New Jersey","Warren","BATSTP 542 at River, right side of road.",36.24,40946347950,272975653,NA,NA,NA,"4X","4X","4X",NA,1084613,"4X",1,NA,"4X","4X","4X",4,"PI_674660",NA,NA,NA
"J526.A","IILX",NA,"J526.A","J526","Y","Y","paper_732g","Natural Collection","Grown from GRIN Seed Packet In Austin","Panicum virgatum","PI 674664",NA,"NA",NA,40.966019,-72.133468,4,NA,"USA","New York","Suffolk","Double Dunes TNC Park, Suffolk County. Major Land Resource Area 149B.",35.43,40036284900,266908566,NA,NA,NA,"4X","4X","4X",NA,1017625,"4X",1,NA,"4X","4X","4X",4,"PI_674664",NA,NA,NA
"J526.C","IILY",NA,"J526.C","J526","Y","Y","paper_732g","Natural Collection","Grown from GRIN Seed Packet In Austin","Panicum virgatum","PI 674664",NA,"NA",NA,40.966019,-72.133468,4,NA,"USA","New York","Suffolk","Double Dunes TNC Park, Suffolk County. Major Land Resource Area 149B.",39.14,44226656100,294844374,NA,NA,NA,"4X","4X","4X",NA,999210,"4X",1,NA,"4X","4X","4X",4,"PI_674664",NA,NA,NA
"J527.A","IILZ",NA,"J527.A","J527","Y","Y","paper_732g","Natural Collection","Grown from GRIN Seed Packet In Austin","Panicum virgatum","PI 674665",NA,"NA",NA,40.90886,-72.446203,0,NA,"USA","New York","Suffolk","By gate near Sebonic Inlet Road in national natural area near golf course, Suffolk County. Major Land Resource Area 149B.",26.45,29886773250,199245155,NA,NA,NA,"4X","4X","4X",NA,962828,"4X",1,NA,"4X","4X","4X",4,"PI_674665",NA,NA,NA
"J527.C","IIMB",NA,"J527.C","J527","Y","Y","paper_732g","Natural Collection","Grown from GRIN Seed Packet In Austin","Panicum virgatum","PI 674665",NA,"NA",NA,40.90886,-72.446203,0,NA,"USA","New York","Suffolk","By gate near Sebonic Inlet Road in national natural area near golf course, Suffolk County. Major Land Resource Area 149B.",35.51,40120861350,267472409,NA,NA,NA,"4X","4X","4X",NA,1057794,"4X",1,NA,"4X","4X","4X",4,"PI_674665",NA,NA,NA
"J536.B","IIMD",NA,"J536.B","J536","Y","Y","paper_732g","Natural Collection","Grown from GRIN Seed Packet In Austin","Panicum virgatum","PI 674674",NA,"These could be kept. Site in NY could be both east coast and midwest, and admixed also have high h0",NA,41.104452,-73.451446,27,NA,"USA","New York","Suffolk","NCC Campus, Suffolk County. Major Land Resource Area 149B.",38.64,43654263600,291028424,NA,NA,NA,"4X","4X","4X",NA,1514669,"4X",1,NA,"4X","?X","4X",3,"PI_674674","Split ACC; one sample is 100% ATLANTIC and clusters in region; 50% MW, 50% ATLANTIC; do we believe that there is natural level of 4X admixture here (without finding MW 4X); Sample removed in Nature paper analysis","F","F"
